ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	Terrane	Paleolatitude	Environment_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	Dominant	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Foraminifera	Stromatoporoids	Porifera	Corals	Conularids	Gastropoda	Cephalopoda	Bivalvia	Brachiopoda	Tentaculita	Ectoprocta	Ostracoda	Conchostracans	Trilobita	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
40	Lower Devonian	Emsian	Atholville 	Canada  NB	Campbellton		407.6	393.3	Laurasia		deltaic	1881		1		1		0		1		1		0		MUD							0	0	0	1	2	0	0	1	3	1	4	1	2	0	0	0	0	0	0	11	commun	300	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	6	1	1	1	1	0	0	0	1		R. Cloutier
41	Lower Devonian	Lochkovian	Dalhousie	Canada  NB	Dalhousie		419.2	410.8	Laurasia																									1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	rare	1	1	0	0																															
42	Middle Devonian	late Givetian	Wapiti Mountain	Canada AL	Yahatinda		384.3666667	382.7	Laurasia		river channel and littoral			1		1		1		0		1		0									1	0	0	1		0	0	1		0	0	0	0	0	0	1		0	0	1	rare						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1		1		1			
43	Lower Devonian	Emsian	Arisaig-Pictou	Canada NS	Knoydart		407.6	393.3	Laurasia		fluvial	1901				1	20	1	30	1	50	0	0	0	0	SHA SAN							0	1	4	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	7	common		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	
44	Lower Devonian	Lochkovian	Man on the Hill (MOTH)	Canada NWT	Delorme Group		419.2	410.8	Laurasia		marine intra-shelf topographic low	1973		0	0	0	0	1		1				1		LIM							1	1	17	1	11	1	6	1	1	1	13	1	11	0	0	0	0	0	0	60	abundant	500	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1		0	0	0	0	0	0	0	0	0	
45	Upper Devonian	Frasnian-Famennian	Kettle Point	Canada ON			382.7	358.9	Laurasia					0		0		0		1		1		1		LIM							1	0	0	0	0	0	0	1		0	0	0	0	1		0	0	0	0	1	rare		0	1		0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0		0	0	0		0		1			
46	Lower Devonian 	early Emsian	Mont Lyall	Canada QC	York River		407.6	402.8333333	Laurasia			1991	2-3 days	0	0	0	0	1	10	1	80	0	0	1	10	SHA							0	0	0	1	1	0	0	1	3	1		1	1	0	0	0	0	0	0	5	commun	100	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	R. Cloutier
47	Lower Devonian 	early Emsian	Mont Tuzo	Canada QC	York River		407.6	402.8333333	Laurasia			2002														SIL							0	0	0			0	0			1	2	1		0	0	0	0	0	0	2																																				
48	Lower Devonian	early Emsian-early Eifelian	DAiguillon (Cap-au-Os)	Canada QC	Battery Point		407.6	391.4333333	Laurasia		tidal flat	1969				1										SAN							0	0	0	1	6	0	0	1	5	1	3	0	0	0	0	0	0	0	0	14			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1		R. Cloutier
49	Lower Devonian	Emsian	Anse-a-Brillant	Canada QC	Battery Point		407.6	393.3	Laurasia		"lagoon, deltaic"															SAN							0	0	0	1	1	0	0	1	2	1	1	0	0	0	0	0	0	0	0	4	rare	30	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0		0	1	0	0	0	0	0	1		
50	Middle Devonian	Givetian	Heyuanzhai	China	Heyuanzhai																												1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	rare		0	1	0					1					1																					
51	Middle Devonian	Eifelian	Mulatang	China	Mulatang																												1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	rare		0	1	0					1					1																					
