ID,lat,lon,crdsprov.est,age,period,min_ma,max_ma
29,-19.36271,-64.79568,est,,,,
30,-19.87368,-65.55168,est,,,,
32,-4.28363,-42.99342,est,MD,,,
33,-3.22657,-60.93414,est,ED,,,
35,77.16492,-86.26928,est,LD,,,
57,25.49755,103.7718,est,ED,,,
58,25.4403,103.69531,est,LD,,,
91,57.3,25.12,est,MD,,,
101,31.25004759,-3.819258452,est,,,,
135,57.65847532,-2.347500542,est,,,,
139,-32.8567696,19.4422701,est,,,,
140,-24.7708122,27.73298696,est,,,,
141,-33.41151587,20.18431516,est,,,,
142,-32.95062675,27.24537715,est,,,,
143,-33.18742393,24.50845179,est,,,,
149,18.35502086,97.73378037,est,SL,,,
150,17.3950058,101.6246039,est,MD,,,
159,38.46890969,-106.165023,est,LD,,,
